Date,Close,High,Low,Open,Volume
2004-01-02,788.4899902,793.289978,786.4199829,793.289978,25085200
2004-01-05,792.6599731,792.6599731,785.5599976,788.5800171,37377000
2004-01-06,787.289978,794.789978,787.289978,793.0700073,51161200
2004-01-07,805.7600098,805.7600098,788.0599976,788.0599976,86798600
2004-01-08,813.2000122,815.9699707,804.039978,805.1799927,162799600
2004-01-09,825.4199829,830.7600098,817.8499756,817.8499756,163056800
2004-01-12,823.6799927,829.9099731,818.8099976,825.460022,91480400
2004-01-13,818.4199829,825.0700073,816.3300171,824.0300293,68090800
2004-01-14,815.9799805,822.3699951,815.210022,817.8900146,76275600
2004-01-15,814.7999878,816.9099731,808.2399902,816.2800293,57746600
2004-01-16,817.2700195,817.2700195,811.9500122,814.4299927,77338400
2004-01-19,818.9099731,819.3400269,815.8599854,818.0700073,72758400
2004-01-20,824.6599731,824.6599731,819.0100098,819.3400269,80289800
2004-01-26,827.8699951,830.9199829,825.039978,825.039978,99933200
2004-01-27,823.2700195,830.0100098,818.8200073,828.2000122,88456400
2004-01-28,819.8499756,822.4199829,814.4000244,822.4199829,77358800
2004-01-29,817.1099854,819.5599976,811.2199707,819.5599976,58392800
2004-01-30,818.9400024,819.8400269,815.3400269,819.1599731,73978600
2004-02-04,804.8300171,818.1599731,803.7299805,818.1599731,111239600
2004-02-05,807.5700073,809.5999756,804.2000122,804.460022,86486600
2004-02-06,815.4199829,818.6400146,808.0599976,808.0599976,91302000
2004-02-09,817.789978,819.289978,815.5,815.5,66419800
2004-02-10,812.0599976,819.4899902,810.7299805,817.75,63312200
2004-02-11,818.2199707,818.2199707,812.2600098,812.4199829,84435200
2004-02-12,825.6500244,825.6500244,819.5900269,819.5900269,114401400
2004-02-13,825.9099731,828.0599976,822.6900024,826.0800171,90854600
2004-02-16,828.1699829,833.3300171,825.9500122,826.1300049,107393200
2004-02-17,845.7999878,845.8599854,828.2999878,828.3300171,153401400
2004-02-18,857.1500244,860.4799805,847.3200073,847.3200073,265590800
2004-02-19,858.6599731,861.2800293,852.7299805,859.6799927,173749200
2004-02-20,861.7199707,863.6300049,856.3200073,859.3599854,152108400
2004-02-24,874.8200073,876.1400146,864,864,215346000
2004-02-25,872.0300293,877.6400146,866.1699829,875.7399902,164365000
2004-02-26,885.3400269,885.3400269,872.2700195,872.3699951,184323200
2004-02-27,879.2399902,886.1099854,875.5300293,886.1099854,154349600
2004-03-01,882.0700073,884.3400269,877.539978,878.1699829,125896200
2004-03-02,894.4500122,895.4699707,884.289978,884.289978,173345200
2004-03-03,877.2000122,892.8400269,868.7999878,892.8400269,163122800
2004-03-04,882.3300171,883.0100098,870.1599731,879.5300293,115358400
2004-03-05,886.1500244,892.2700195,882.9799805,882.9799805,131086800
2004-03-08,880.8499756,887.8599854,877.8400269,885.6500244,122847800
2004-03-09,882.960022,882.960022,875.5599976,879.789978,95012400
2004-03-10,875.8300171,880.8699951,870.7800293,880.8699951,113932800
2004-03-11,879.5,880.5499878,869.9899902,872.789978,91354800
2004-03-12,884.5499878,884.5499878,874.7199707,878.1300049,95066800
2004-03-15,890.289978,892.8099976,884.5100098,884.5100098,95532400
2004-03-16,885.7000122,890.5999756,883.4500122,889.6900024,85005000
2004-03-17,890.1400146,891.9299927,886.9699707,886.9699707,90311200
2004-03-18,901.4699707,905.7700195,892.960022,892.960022,147747200
2004-03-19,904.4500122,907.8200073,897.8699951,903.4199829,151375000
2004-03-22,908.960022,918.9500122,900.210022,916.75,136676400
2004-03-23,897.8699951,906.5300293,893.8099976,906.5300293,98227600
2004-03-24,895.3099976,901.1199951,893.4799805,897.6199951,103368400
2004-03-25,890.1400146,897.9299927,884.3599854,897.3699951,117589600
2004-03-26,895.1199951,899.2800293,888.7199707,892.1900024,122872000
2004-03-29,899.5800171,899.5800171,886.8900146,896.3800049,77211600
2004-03-30,901.5200195,901.5200195,888.1900024,898.8699951,82068200
2004-03-31,901.8499756,901.8499756,882.7399902,899.6799927,113547600
