Date,Price
2022-01-03,4.33322250055158
2022-01-04,4.35116644327676
2022-01-05,4.352205123692821
2022-01-06,4.349586522183159
2022-01-07,4.35103865560178
2022-01-10,4.355276233179339
2022-01-11,4.419715800191019
2022-01-12,4.401313078636
2022-01-13,4.4221335924037195
2022-01-14,4.4077365366820995
2022-01-17,4.3897495432690405
2022-01-19,4.355942140715739
2022-01-20,4.345329677962939
2022-01-21,4.33423190468848
2022-01-24,4.32315045170236
2022-01-25,4.31470174205816
2022-01-26,4.334574718353879
2022-01-27,4.34080935191016
2022-01-28,4.348925983973299
2022-01-31,4.350398750860039
2022-02-03,4.36837489441736
2022-02-04,4.37059219976544
2022-02-07,4.380538889133419
2022-02-08,4.3796261007712
2022-02-09,4.41796919635042
2022-02-10,4.435310693788519
2022-02-11,4.428549113161379
2022-02-14,4.45519024177828
2022-02-15,4.4608207219408005
2022-02-16,4.470425685225621
2022-02-17,4.4835854762461205
2022-02-18,4.49609843704836
2022-02-21,4.4988078943677
2022-02-22,4.47813617181154
2022-02-23,4.48199746623936
2022-02-24,4.44669729371278
2022-02-25,4.47447652196876
2022-02-28,4.5071452980344
2022-03-01,4.5352061538556
2022-03-02,4.5740956359279
2022-03-03,4.5929805032202005
2022-03-04,4.5849552358397805
2022-03-07,4.501098083296661
2022-03-08,4.465994181390981
2022-03-09,4.494636658553642
2022-03-10,4.530543466433921
2022-03-11,4.541606360440221
2022-03-14,4.531655061516001
2022-03-15,4.520497753466301
2022-03-16,4.549610317763501
2022-03-17,4.600052432118041
2022-03-18,4.556017820636261
2022-03-21,4.575193283685241
2022-03-22,4.56279510918134
2022-03-23,4.5993656518399995
2022-03-24,4.593844903296099
2022-03-25,4.59419319817632
2022-03-28,4.593098342626101
2022-03-29,4.580213269152
2022-03-30,4.588370640946939
2022-03-31,4.597105121465341
2022-04-01,4.613767680189941
2022-04-04,4.6215226281106405
2022-04-05,4.61554584345838
2022-04-06,4.63615831630552
2022-04-07,4.6347698927374
2022-04-08,4.64225285217434
2022-04-11,4.650118175425561
2022-04-12,4.63789338962826
2022-04-13,4.676369826123961
2022-04-14,4.67962222738638
2022-04-15,4.672488925322961
2022-04-18,4.66124344191168
2022-04-20,4.6780031616194595
2022-04-21,4.699670167795019
2022-04-22,4.72166204376688
2022-04-25,4.71218614004248
2022-04-26,4.73781914668326
2022-04-27,4.7247044524151995
2022-04-28,4.737297844177581
2022-04-29,4.754211355280161
2022-05-05,4.713008201092141
2022-05-06,4.696398640115141
2022-05-09,4.6685103472485
2022-05-10,4.66515193032772
2022-05-11,4.6776607217611
2022-05-12,4.663139341192101
2022-05-13,4.673822422115601
2022-05-17,4.685759692747981
2022-05-18,4.719651704487761
2022-05-19,4.7105991415165205
2022-05-20,4.714140874783821
2022-05-23,4.712197003875499
2022-05-24,4.7176026762539
2022-05-25,4.713281733126901
2022-05-26,4.725401090259302
2022-05-27,4.733698514901201
2022-05-30,4.746357833536001
2022-05-31,4.759346546128401
2022-06-01,4.762973092749739
2022-06-02,4.772621665393239
2022-06-03,4.76405178695122
2022-06-07,4.7791148422075
2022-06-08,4.7604610856972815
2022-06-09,4.751888210934981
2022-06-10,4.71464444593726
2022-06-13,4.661997907340221
2022-06-14,4.671026486879541
2022-06-15,4.661925633951781
2022-06-16,4.688429624141601
2022-06-17,4.687524804951121
2022-06-20,4.6473697849344
2022-06-21,4.663138632417541
2022-06-22,4.631457398183319
2022-06-23,4.61251249610004
2022-06-24,4.6156025227968
2022-06-27,4.627183823566919
2022-06-28,4.63692049955142
2022-06-29,4.65110855588924
2022-06-30,4.63168371159524
2022-07-01,4.619920838301041
2022-07-04,4.613946279840101
2022-07-05,4.6257797806108
2022-07-06,4.58436588214522
2022-07-07,4.57600716679644
2022-07-08,4.58050663210774
2022-07-12,4.574103091548681
2022-07-13,4.573159605236601
2022-07-14,4.582129804602201
2022-07-15,4.590448257995661
2022-07-18,4.579390008116761
2022-07-19,4.574920952932421
2022-07-20,4.5825799444714805
2022-07-21,4.66113311573974
2022-07-22,4.68632595301462
2022-07-25,4.66959390757982
2022-07-26,4.68015594601124
2022-07-27,4.71250056775404
2022-07-28,4.72414504456842
2022-07-29,4.732186270255081
2022-08-01,4.730281989048981
2022-08-02,4.72769398861924
2022-08-03,4.710853293684841
2022-08-04,4.721872833311121
2022-08-05,4.7231293581394
2022-08-08,4.72355091649238
2022-08-09,4.72186317351504
2022-08-10,4.70567574581614
2022-08-11,4.71892892723684
2022-08-12,4.72781979462038
2022-08-15,4.724163670142
2022-08-16,4.73522996159734
2022-08-17,4.727729208464841
2022-08-18,4.7379604612883
2022-08-19,4.75838927801158
2022-08-22,4.743358223696361
2022-08-23,4.715905493554001
2022-08-24,4.696195535200861
2022-08-25,4.73184273630528
2022-08-26,4.739572729820081
2022-08-29,4.76599428865684
2022-08-30,4.78518321019652
2022-09-01,4.77786408105084
2022-09-02,4.77543073219754
2022-09-05,4.80852783689396
2022-09-06,4.7974918271211795
2022-09-07,4.79960750585552
2022-09-08,4.80492159451306
2022-09-09,4.814131555785081
2022-09-12,4.8404049751757
2022-09-13,4.83047251469748
2022-09-14,4.79417806728872
2022-09-15,4.784590094185179
2022-09-19,4.7836685581228595
2022-09-20,4.786803154845519
2022-09-21,4.80530944003204
2022-09-22,4.784933737035461
2022-09-23,4.7600955468524395
2022-09-26,4.7178576136619
2022-09-27,4.695400793683159
2022-09-28,4.6988018544266605
2022-09-29,4.684228501387261
2022-09-30,4.707809587232999
2022-10-03,4.70771489647982
2022-10-04,4.7257847918212
