Date,2089.KL,3301.KL,1155.KL,4006.KL,5209.KL,5347.KL,5983.KL,1066.KL,1818.KL,5228.KL,5176.KL,5109.KL,5236.KL,5606.KL,6432.KL,3476.KL,5227.KL,7100.KL,2488.KL,7084.KL,5014.KL,5212.KL,7103.KL,6351.KL,5398.KL,5008.KL,5878.KL,2305.KL,5819.KL,5185.KL
2022-01-21,7.015599728,7.349191189,6.830494404,4.233453274,2.154251099,7.98384285,2.414910316,4.640559673,5.412695885,0.766104221,1.174598336,0.755864203,0.789363503,1.20222497,2.837999582,3.085734367,1.274593234,2.397038698,2.768354654,3.196190596,5.690915108,1.005646348,0.603387296,4.424301624,1.072709084,0.825993836,0.970836163,5.07196331,17.54129028,1.580833554
2022-01-24,7.035701275,7.341159821,6.805747032,4.233453274,2.162442207,7.9926157,2.36175108,4.535092831,5.412695885,0.771907389,1.183048844,0.743404865,0.78208828,1.22701335,2.845775127,3.076737881,1.282869458,2.380732059,2.768354654,3.189798117,5.622112751,0.997601151,0.606419146,4.457945824,1.080426335,0.820874035,0.9615013,5.02543211,17.50474358,1.589024663
2022-01-25,7.035701275,7.268872738,6.789247513,4.265403748,2.162442207,7.948750019,2.338968992,4.478301525,5.395236015,0.766104221,1.174598336,0.743404865,0.803914189,1.22701335,2.837999582,3.076737881,1.274593234,2.356272936,2.684210062,3.196190596,5.720402241,0.981510937,0.615515471,4.466356277,1.080426335,0.819167376,0.9615013,5.02543211,17.50474358,1.580833554
2022-01-26,7.035701275,7.349191189,6.846993923,4.257415295,2.162442207,7.98384285,2.323781013,4.494527817,5.395236015,0.771907389,1.166148067,0.743404865,0.814826846,1.239407063,2.806898355,3.076737881,1.266316652,2.405191898,2.726282358,3.183406353,5.799032688,1.005646348,0.60945183,4.466356277,1.080426335,0.822580576,0.9615013,5.02543211,17.63264656,1.605406284
2022-01-27,7.035701275,7.349191189,6.846993923,4.265403748,2.162442207,7.9926157,2.354157448,4.494527817,5.377776146,0.766104221,1.174598336,0.743404865,0.814826846,1.239407063,2.845775127,3.067741394,1.274593234,2.372579098,2.759939909,3.202583075,5.671257496,1.005646348,0.60945183,4.457945824,1.088143826,0.822580576,0.952166319,5.02543211,17.72400665,1.605406284
2022-01-28,7.035701275,7.373288155,6.855243206,4.289366245,2.187014818,7.9926157,2.369345188,4.518866062,5.395236015,0.766104221,1.174598336,0.747557938,0.807551503,1.239407063,2.806898355,3.085734367,1.274593234,2.38888526,2.743111134,3.196190596,5.64177084,1.013691425,0.615515471,4.457945824,1.072709084,0.822580576,0.970836163,5.02543211,17.77882195,1.466161847
2022-01-31,7.045752525,7.44557476,6.822246075,4.305341244,2.195206404,8.036483765,2.338968992,4.510753155,5.4650774,0.766104221,1.174598336,0.751711071,0.814826846,1.239407063,2.806898355,3.319638252,1.274593234,2.429651737,2.776768923,3.177013636,5.602455139,1.013691425,0.615515471,4.457945824,1.068850636,0.822580576,0.970836163,5.02543211,17.72400665,1.457970977
2022-02-03,7.025650978,7.44557476,6.863492489,4.305341244,2.203397751,8.08912468,2.346563101,4.535092831,5.622220039,0.76030004,1.199949622,0.755864203,0.80027622,1.245604396,2.837999582,3.319638252,1.282869458,2.413345098,2.759939909,3.093912125,5.720402241,1.013691425,0.618548155,4.542058468,1.095861077,0.827700496,0.980171323,5.02543211,17.83364105,1.466161847
2022-02-04,7.085956097,7.453607082,6.813996315,4.345279217,2.195206404,7.9926157,2.338968992,4.518866062,5.578569412,0.76030004,1.183048844,0.755864203,0.803914189,1.245604396,2.837999582,3.157704592,1.274593234,2.421498537,2.78518343,3.055557966,5.700744629,1.005646348,0.60945183,4.558880329,1.080426335,0.836233437,0.9615013,5.02543211,17.90673065,1.490734458
2022-02-07,7.085956097,7.389351368,6.871742249,4.361255169,2.195206404,8.045256615,2.338968992,4.526979446,5.639680862,0.766104221,1.191499114,0.751711071,0.80027622,1.245604396,2.837999582,3.220678329,1.266316652,2.445957899,2.827255726,3.042773485,5.631942272,1.021736622,0.615515471,4.558880329,1.080426335,0.831113577,1.017511129,5.02543211,18.01636314,1.498925209
