stock_code,optimal_weight,optimal_return,optimal_risk
2089.KL,0.06091379310344827,0.2544,0.0672
3301.KL,0.03491379310344827,,
1155.KL,0.021713793103448276,,
4006.KL,0.029213793103448276,,
5209.KL,0.03931379310344827,,
5347.KL,0.033413793103448275,,
5983.KL,0.05261379310344827,,
1066.KL,0.021013793103448277,,
1818.KL,0.023013793103448275,,
5228.KL,0.026313793103448276,,
5176.KL,0.025513793103448278,,
5109.KL,0.026313793103448276,,
5236.KL,0.038213793103448274,,
5606.KL,0.044813793103448275,,
6432.KL,0.04121379310344827,,
3476.KL,0.032913793103448274,,
5227.KL,0.025813793103448276,,
7100.KL,0.024013793103448276,,
2488.KL,0.037013793103448274,,
7084.KL,0.027013793103448275,,
5212.KL,0.022013793103448275,,
7103.KL,0.04971379310344827,,
6351.KL,0.023713793103448275,,
5398.KL,0.08001379310344828,,
5008.KL,0.038013793103448275,,
5878.KL,0.050813793103448274,,
2305.KL,0.020913793103448278,,
5819.KL,0.009813793103448275,,
5185.KL,0.03941379310344827,,
