stock_code,optimal_weight,optimal_return,optimal_risk
2089.KL,0.15278620689655173,0.277611336,0.065787997
3301.KL,0.08048620689655171,,
1155.KL,0.0007862068965517243,,
4006.KL,0.0007862068965517244,,
5209.KL,0.07338620689655172,,
5347.KL,0.001836206896551724,,
5983.KL,0.08638620689655171,,
1066.KL,0.0007862068965517242,,
1818.KL,0.0007862068965517246,,
5228.KL,0.061086206896551726,,
5176.KL,0.030486206896551724,,
5109.KL,0.02968620689655172,,
5236.KL,0.03378620689655173,,
5606.KL,0.08188620689655172,,
6432.KL,0.06418620689655172,,
3476.KL,0.005006206896551724,,
5227.KL,0.009056206896551724,,
7100.KL,0.0025162068965517244,,
2488.KL,0.0010322068965517243,,
7084.KL,0.003066206896551724,,
5212.KL,0.0007862068965517243,,
7103.KL,0.058686206896551726,,
6351.KL,0.012886206896551724,,
5398.KL,0.07188620689655172,,
5008.KL,0.039286206896551726,,
5878.KL,0.02858620689655172,,
2305.KL,0.051586206896551724,,
5819.KL,0.0007862068965517247,,
5185.KL,0.015586206896551725,,
