Date,Price
2022-01-03,3.0520671270780007
2022-01-04,3.0595083899355004
2022-01-05,3.0632325850101996
2022-01-06,3.058088515204001
2022-01-07,3.0632132285709
2022-01-10,3.061796204853101
2022-01-11,3.081934908494601
2022-01-12,3.0872098567194994
2022-01-13,3.0870143027248007
2022-01-14,3.0804225490039996
2022-01-17,3.0665080048746995
2022-01-19,3.0460475007704004
2022-01-20,3.0453776053457995
2022-01-21,3.0434286934696
2022-01-24,3.0376999466488006
2022-01-25,3.0313315791405
2022-01-26,3.0423494582622004
2022-01-27,3.0431572900824007
2022-01-28,3.0402185839142
2022-01-31,3.0516586242432
2022-02-03,3.0661755096542
2022-02-04,3.058405220982401
2022-02-07,3.0669932590260007
2022-02-08,3.0731610547909
2022-02-09,3.1032433047037005
2022-02-10,3.1121466652869
2022-02-11,3.1080143410765997
2022-02-14,3.1150762062561
2022-02-15,3.1244966126050997
2022-02-16,3.1335704984959
2022-02-17,3.1510391225955012
2022-02-18,3.1658509915082007
2022-02-21,3.1611173608030008
2022-02-22,3.1363814566892003
2022-02-23,3.143270091249299
2022-02-24,3.105463561109599
2022-02-25,3.1345543592986997
2022-02-28,3.1700104734555006
2022-03-01,3.1832816780382003
2022-03-02,3.2025358503741
2022-03-03,3.2305991602645
2022-03-04,3.221258904546
2022-03-07,3.1585009956037
2022-03-08,3.1342770512881004
2022-03-09,3.1554391552283
2022-03-10,3.1809619765759
2022-03-11,3.1818439710946
2022-03-14,3.170774973053701
2022-03-15,3.153429677100801
2022-03-16,3.189137168850801
2022-03-17,3.2197320011513004
2022-03-18,3.213063349101501
2022-03-21,3.222956907337601
2022-03-22,3.2234667297526007
2022-03-23,3.238409812947301
2022-03-24,3.2389518937820014
2022-03-25,3.2450710876239
2022-03-28,3.246591749404701
2022-03-29,3.2407273739073004
2022-03-30,3.2577666341911993
2022-03-31,3.2662585741714
2022-04-01,3.2776695654448
2022-04-04,3.2972285244849004
2022-04-05,3.3001908382791996
2022-04-06,3.3143087062632004
2022-04-07,3.3118327633013003
2022-04-08,3.320747666911299
2022-04-11,3.3211648323489995
2022-04-12,3.3198907433158
2022-04-13,3.3353682656576997
2022-04-14,3.3320209599418003
2022-04-15,3.325771292213101
2022-04-18,3.3233456751021
2022-04-20,3.3484680563913005
2022-04-21,3.357334531811
2022-04-22,3.3664040525428005
2022-04-25,3.355853898529299
2022-04-26,3.3778167805021995
2022-04-27,3.3543847380968006
2022-04-28,3.369907535621
2022-04-29,3.392050815862499
2022-05-05,3.3598893287622005
2022-05-06,3.3361916887192002
2022-05-09,3.3163367725029
2022-05-10,3.3170422617217996
2022-05-11,3.325854593782
2022-05-12,3.2994583327577995
2022-05-13,3.3060109784210003
2022-05-17,3.3151346924041
2022-05-18,3.3330334901241008
2022-05-19,3.3241403907547
2022-05-20,3.3289137935334994
2022-05-23,3.3270798737778997
2022-05-24,3.3241495405343
2022-05-25,3.3244071188262994
2022-05-26,3.334516299870099
2022-05-27,3.3425718426791002
2022-05-30,3.349554468733
2022-05-31,3.3564400221488
2022-06-01,3.3559336616595004
2022-06-02,3.364362076702
2022-06-03,3.3700096753147
2022-06-07,3.3770162129148003
2022-06-08,3.375552046435899
2022-06-09,3.355251690716599
2022-06-10,3.3338351605948997
2022-06-13,3.2806951777955002
2022-06-14,3.2881344653188997
2022-06-15,3.2756963819715006
2022-06-16,3.2880380603145998
2022-06-17,3.2690153532862998
2022-06-20,3.2367581751245997
2022-06-21,3.2517616155285007
2022-06-22,3.231353254043401
2022-06-23,3.224446219479201
2022-06-24,3.2437695137249003
2022-06-27,3.2309652680438012
2022-06-28,3.2388388983466
2022-06-29,3.2426622772085003
2022-06-30,3.2375307950303993
2022-07-01,3.2264900601532003
2022-07-04,3.2120602038869
2022-07-05,3.2172641810144005
2022-07-06,3.188311876071599
2022-07-07,3.1904384984470004
2022-07-08,3.1936095670452
2022-07-12,3.1938786756141
2022-07-13,3.1895176467821003
2022-07-14,3.1924157744888
2022-07-15,3.1856699776803006
2022-07-18,3.1904929839002008
2022-07-19,3.191921426682601
2022-07-20,3.199873542495701
2022-07-21,3.2570074658336012
2022-07-22,3.2749016340525015
2022-07-25,3.2628954012271
2022-07-26,3.259786932782501
2022-07-27,3.2680560082457015
2022-07-28,3.287217567987801
2022-07-29,3.301704111914901
2022-08-01,3.3164117772428
2022-08-02,3.303787002827
2022-08-03,3.3018415093861995
2022-08-04,3.3217218968121
2022-08-05,3.3208247648023
2022-08-08,3.3200229893038995
2022-08-09,3.3164374931891
2022-08-10,3.3090648122973003
2022-08-11,3.3264642582191
2022-08-12,3.3283589781605
2022-08-15,3.328462863984
2022-08-16,3.3450304267335995
2022-08-17,3.3405234754191997
2022-08-18,3.3330296103775003
2022-08-19,3.3457278841225007
2022-08-22,3.3325145404796994
2022-08-23,3.319693398450501
2022-08-24,3.3059378785998996
2022-08-25,3.3389159983675
2022-08-26,3.3472827509233
2022-08-29,3.3556147203839
2022-08-30,3.3745426506037997
2022-09-01,3.362586630396199
2022-09-02,3.3677301719363
2022-09-05,3.394716041149101
2022-09-06,3.3887059177593
2022-09-07,3.3983638111414
2022-09-08,3.4016986623695
2022-09-09,3.4023220634088007
2022-09-12,3.4172597819756
2022-09-13,3.4057137197799
2022-09-14,3.3882261152613005
2022-09-15,3.3804105338605006
2022-09-19,3.3789654142465992
2022-09-20,3.3813018107244996
2022-09-21,3.3726500454143
2022-09-22,3.3697066805251
2022-09-23,3.3497937156167996
2022-09-26,3.3105190438981995
2022-09-27,3.3064044892527
